*grogne*\La concentration en CO2 atteint des niveaux alarmants...\A ce rythme là,la pla...\Ah,tu es là depuis longtemps ? Je suis râvie de faire ta connaissance !;bienvenue;1;0
Grrrrrrrrrrrrr Grrrrrrrrrrrrrrrrr\Tu m'as l'air bien appétissant, si tu me donnes une bonne réponse,je t'épargne !;bienvenue;3;0
Si le carré de l'hypothénuse égale la somme des carrés des deux autres côtés d'un triangle ALORS...\Hey salut toi,tu aimes les maths ? Parce que personnellement,j'adore ça !;bienvenue;2;0
Enchanté de faire ta connaissance !;bienvenue;0;0
Quel plaisir de te revoir !;salutations;0;0
Encore toi...;salutations;0;-1
Heureuse de te revoir, chimiste en herbe!;salutations;1;1
Qu’est-ce qu’une molécule pas contente?\Une molécule chirale !(Qui râle);salutations;1;2
L'entropie n'est plus ce qu'elle était...;salutations;1;-1
Qu'est-ce qu'un ours polaire ?\Un ours cartésien après un changement de coordonnées;salutations;2;1
Pourquoi la vie est-elle complexe ?\Elle a des composantes réelles et imaginaires.;salutations;2;2
Avec toi 1 et 1 ne font pas deux...;salutations;2;-1
Comment appelle t-on un dinosaure qui présente le Téléthon ?\Un appelaudon.;salutations;3;1
Que font deux dinosaures quand ils n'arrivent pas à se décider ?\Un tirajosaure.;salutations;3;2
Je ne vois pas le raptor...;salutations;3;-1
